A: OMIT SAME DATA (Auto, fan, etc)
B: Passenger Temp
C: Passenger Temp
D: Driver Temp?
E: Driver Temp?
F: Fan Speed
G: Fan Speed
H: Mode
I: OMIT SAME DATA (Auto, fan, etc)
J: Checksum

B   C   D   E   F   H  
=== Passenger ===
028 120 220 248 171 128
028 120 220 248 171 128
028 120 220 248 171 128
028 120 220 248 171 128
028 120 220 248 171 128
028 120 220 248 171 128
028 120 220 248 171 128
028 120 220 248 171 128
028 120 220 248 171 128
028 120 220 248 171 128
028 120 220 248 171 128
028 120 220 248 171 128
028 120 220 248 171 128
028 120 220 248 171 128
028 120 220 248 171 128
028 120 220 248 171 128
028 120 220 248 171 128
028 120 220 248 171 128
028 120 220 248 171 128
028 120 220 248 171 128
028 120 220 248 171 128
028 120 220 248 171 128
028 120 220 248 171 128
028 120 220 248 171 128
127 045 220 248 251 128
127 045 220 248 251 128
127 045 220 248 251 128
127 045 220 248 251 128
127 045 220 248 251 128
127 045 220 248 251 128
127 045 220 248 251 128
047 045 220 248 251 128
047 045 220 248 251 128
047 045 220 248 251 128
047 045 220 248 251 128
047 045 220 248 251 128
047 045 220 248 251 128
047 045 220 248 251 128
047 045 220 248 251 128
127 125 220 248 155 128
127 125 220 248 155 128
127 125 220 248 155 128
127 125 220 248 155 128
127 125 220 248 155 128
127 125 220 248 155 128
127 125 220 248 155 128
127 125 220 248 155 128
070 125 220 248 155 128
070 125 220 248 155 128
070 125 220 248 155 128
070 125 220 248 155 128
070 125 220 248 155 128
070 125 220 248 155 128
070 125 220 248 155 128
070 125 220 248 155 128
070 125 220 248 155 128
070 125 220 248 155 128
070 125 220 248 155 128
070 125 220 248 155 128
091 125 220 248 251 128
091 125 220 248 251 128
091 125 220 248 251 128
091 125 220 248 251 128
091 125 220 248 251 128
091 125 220 248 251 128
091 125 220 248 251 128
079 125 220 248 251 128
079 125 220 248 251 128
079 125 220 248 251 128
079 125 220 248 251 128
079 125 220 248 251 128
079 125 220 248 251 128
038 125 220 248 251 128
038 125 220 248 251 128
038 125 220 248 251 128
038 125 220 248 251 128
038 125 220 248 251 128
038 125 220 248 251 128
038 125 220 248 251 128
038 125 220 248 251 128
109 125 220 248 251 128
109 125 220 248 251 128
109 125 220 248 251 128
109 125 220 248 251 128
109 125 220 248 251 128
109 125 220 248 251 128
109 125 220 248 251 128
109 125 220 248 251 128
109 125 220 248 251 128
109 125 220 248 251 128
109 125 220 248 251 128
109 125 220 248 251 128
109 125 220 248 251 128
109 125 220 248 251 128
109 125 220 248 251 128
109 125 220 248 251 128
061 125 220 248 251 128
061 125 220 248 251 128
061 125 220 248 251 128
061 125 220 248 251 128
061 125 220 248 251 128
061 125 220 248 251 128
061 125 220 248 251 128
061 125 220 248 251 128
007 125 220 248 155 128
007 125 220 248 155 128
007 125 220 248 155 128
007 125 220 248 155 128
007 125 220 248 155 128
007 125 220 248 155 128
007 125 220 248 155 128
007 125 220 248 155 128
127 125 220 248 251 128
127 125 220 248 251 128
127 125 220 248 251 128
127 125 220 248 251 128
127 125 220 248 251 128
127 125 220 248 251 128
127 125 220 248 251 128
047 125 220 248 251 128
047 125 220 248 251 128
047 125 220 248 251 128
047 125 220 248 251 128
047 125 220 248 251 128
047 125 220 248 251 128
047 125 220 248 251 128
127 071 220 248 203 128
127 071 220 248 203 128
127 071 220 248 203 128
127 071 220 248 203 128
127 071 220 248 203 128
127 071 220 248 203 128
127 071 220 248 203 128
127 071 220 248 203 128
070 071 220 248 203 128
070 071 220 248 203 128
070 071 220 248 203 128
070 071 220 248 203 128
070 071 220 248 203 128
070 071 220 248 203 128
070 071 220 248 203 128
070 071 220 248 203 128
070 071 220 248 203 128
091 071 220 248 171 128
091 071 220 248 171 128
091 071 220 248 171 128
091 071 220 248 171 128
091 071 220 248 171 128
091 071 220 248 171 128
091 071 220 248 171 128
079 071 220 248 171 128
079 071 220 248 171 128
079 071 220 248 171 128
079 071 220 248 171 128
079 071 220 248 171 128
079 071 220 248 171 128
079 071 220 248 171 128
079 071 220 248 171 128
038 071 220 248 171 128
038 071 220 248 171 128
038 071 220 248 171 128
038 071 220 248 171 128
038 071 220 248 171 128
038 071 220 248 171 128
038 071 220 248 171 128
109 071 220 248 171 128
109 071 220 248 171 128
109 071 220 248 171 128
109 071 220 248 171 128
109 071 220 248 171 128
109 071 220 248 171 128
061 071 220 248 171 128
061 071 220 248 171 128
061 071 220 248 171 128
061 071 220 248 171 128
061 071 220 248 171 128
061 071 220 248 171 128
061 071 220 248 171 128
007 071 220 248 203 128
007 071 220 248 203 128
007 071 220 248 203 128
007 071 220 248 203 128
007 071 220 248 203 128
007 071 220 248 203 128
007 071 220 248 203 128
007 071 220 248 203 128
127 071 220 248 171 128
127 071 220 248 171 128
127 071 220 248 171 128
127 071 220 248 171 128
127 071 220 248 171 128
127 071 220 248 171 128
127 071 220 248 171 128
047 071 220 248 171 128
047 071 220 248 171 128
047 071 220 248 171 128
047 071 220 248 171 128
047 071 220 248 171 128
047 071 220 248 171 128
047 071 220 248 171 128
127 063 220 248 155 128
127 063 220 248 155 128
127 063 220 248 155 128
127 063 220 248 155 128
127 063 220 248 155 128
127 063 220 248 155 128
070 063 220 248 155 128
070 063 220 248 155 128
070 063 220 248 155 128
070 063 220 248 155 128
070 063 220 248 155 128
070 063 220 248 155 128
091 063 220 248 251 128
091 063 220 248 251 128
091 063 220 248 251 128
091 063 220 248 251 128
091 063 220 248 251 128
091 063 220 248 251 128
091 063 220 248 251 128
079 063 220 248 251 128
079 063 220 248 251 128
079 063 220 248 251 128
079 063 220 248 251 128
079 063 220 248 251 128
079 063 220 248 251 128
079 063 220 248 251 128
038 063 220 248 251 128
038 063 220 248 251 128
038 063 220 248 251 128
