name,type,start_time,duration,"mosi","miso"
"SPI","result",0.01954107,0.00078064,0x00,0x00
"SPI","result",0.0226286,0.00078064,0x80,0x00
"SPI","result",0.02569771,0.00078065,0x01,0x00
"SPI","result",0.02876639,0.00078065,0x01,0x00
"SPI","result",0.03183545,0.00078064,0x01,0x00
"SPI","result",0.03490425,0.00078064,0x83,0x00
"SPI","result",0.03797448,0.00078065,0x01,0x00
"SPI","result",0.04104197,0.00078065,0x01,0x00
"SPI","result",0.04411252,0.00078065,0x01,0x00
"SPI","result",0.04717945,0.00078064,0x83,0x00
"SPI","result",0.05943631,0.00078064,0x00,0x00
"SPI","result",0.06252383,0.00078065,0x80,0x00
"SPI","result",0.0655927,0.00078064,0x01,0x00
"SPI","result",0.0686615,0.00078064,0x01,0x00
"SPI","result",0.07173043,0.00078064,0x01,0x00
"SPI","result",0.07479923,0.00078064,0x83,0x00
"SPI","result",0.07786809,0.00078065,0x01,0x00
"SPI","result",0.08093877,0.00078064,0x01,0x00
"SPI","result",0.08400613,0.00078064,0x01,0x00
"SPI","result",0.08707475,0.00078064,0x83,0x00
"SPI","result",0.09933278,0.00078065,0x00,0x00
"SPI","result",0.10241913,0.00078064,0x80,0x00
"SPI","result",0.10548905,0.00078065,0x01,0x00
"SPI","result",0.10855811,0.00078064,0x01,0x00
"SPI","result",0.1116256,0.00078064,0x01,0x00
"SPI","result",0.11469471,0.00078065,0x83,0x00
"SPI","result",0.11776445,0.00078064,0x01,0x00
"SPI","result",0.12083231,0.00078065,0x01,0x00
"SPI","result",0.12390212,0.00078064,0x01,0x00
"SPI","result",0.12697117,0.00078064,0x83,0x00
"SPI","result",0.13922714,0.00078065,0x00,0x00
"SPI","result",0.14231486,0.00078064,0x80,0x00
"SPI","result",0.14538323,0.00078064,0x01,0x00
"SPI","result",0.14845196,0.00078065,0x01,0x00
"SPI","result",0.15152114,0.00078064,0x01,0x00
"SPI","result",0.15458982,0.00078065,0x83,0x00
"SPI","result",0.15765881,0.00078064,0x01,0x00
"SPI","result",0.16072742,0.00078064,0x01,0x00
"SPI","result",0.16379641,0.00078064,0x01,0x00
"SPI","result",0.16686565,0.00078064,0x83,0x00
"SPI","result",0.179122,0.00078064,0x00,0x00
"SPI","result",0.18221003,0.00078064,0x80,0x00
"SPI","result",0.18527839,0.00078065,0x01,0x00
"SPI","result",0.18834788,0.00078065,0x01,0x00
"SPI","result",0.19141606,0.00078064,0x01,0x00
"SPI","result",0.19448511,0.00078065,0x83,0x00
"SPI","result",0.19755392,0.00078064,0x01,0x00
"SPI","result",0.20062309,0.00078064,0x01,0x00
"SPI","result",0.20369152,0.00078064,0x01,0x00
"SPI","result",0.20676063,0.00078064,0x83,0x00
"SPI","result",0.21901742,0.00078064,0x00,0x00
"SPI","result",0.22210545,0.00078064,0x80,0x00
"SPI","result",0.22517381,0.00078065,0x01,0x00
"SPI","result",0.22824243,0.00078065,0x01,0x00
"SPI","result",0.23131155,0.00078064,0x01,0x00
"SPI","result",0.23438022,0.00078064,0x83,0x00
"SPI","result",0.23744946,0.00078065,0x01,0x00
"SPI","result",0.24051789,0.00078064,0x01,0x00
"SPI","result",0.24358688,0.00078064,0x01,0x00
"SPI","result",0.24665574,0.00078064,0x83,0x00
"SPI","result",0.25891247,0.00078064,0x00,0x00
"SPI","result",0.26200019,0.00078064,0x80,0x00
"SPI","result",0.26506918,0.00078064,0x01,0x00
"SPI","result",0.26813848,0.00078064,0x01,0x00
"SPI","result",0.27120734,0.00078064,0x01,0x00
"SPI","result",0.27427564,0.00078065,0x83,0x00
"SPI","result",0.27734445,0.00078064,0x01,0x00
"SPI","result",0.28041343,0.00078065,0x01,0x00
"SPI","result",0.2834823,0.00078064,0x01,0x00
"SPI","result",0.28655116,0.00078064,0x83,0x00
"SPI","result",0.2988077,0.00078064,0x00,0x00
"SPI","result",0.30189667,0.00078064,0x80,0x00
"SPI","result",0.30496485,0.00078064,0x01,0x00
"SPI","result",0.30803296,0.00078064,0x01,0x00
"SPI","result",0.31110208,0.00078064,0x01,0x00
"SPI","result",0.31417076,0.00078063,0x83,0x00
"SPI","result",0.31723956,0.00078064,0x01,0x00
"SPI","result",0.32030842,0.00078064,0x01,0x00
"SPI","result",0.32337728,0.00078065,0x01,0x00
"SPI","result",0.32644615,0.00078064,0x83,0x00
"SPI","result",0.33870287,0.00078065,0x00,0x00
"SPI","result",0.34179078,0.00078064,0x80,0x00
"SPI","result",0.34485927,0.00078064,0x01,0x00
"SPI","result",0.3479287,0.00078064,0x01,0x00
"SPI","result",0.350997,0.00078064,0x01,0x00
"SPI","result",0.35406636,0.00078065,0x83,0x00
"SPI","result",0.3571351,0.00078064,0x01,0x00
"SPI","result",0.36020403,0.00078064,0x01,0x00
"SPI","result",0.36327602,0.00078064,0x01,0x00
"SPI","result",0.36634201,0.00078064,0x83,0x00
"SPI","result",0.37859985,0.00078065,0x00,0x00
"SPI","result",0.38168564,0.00078064,0x80,0x00
"SPI","result",0.38475451,0.00078064,0x01,0x00
"SPI","result",0.38782487,0.00078064,0x01,0x00
"SPI","result",0.39089261,0.00078064,0x01,0x00
"SPI","result",0.39396141,0.00078064,0x83,0x00
"SPI","result",0.39702996,0.00078064,0x01,0x00
"SPI","result",0.40009895,0.00078064,0x01,0x00
"SPI","result",0.40316838,0.00078064,0x01,0x00
"SPI","result",0.40623668,0.00078064,0x83,0x00
"SPI","result",0.41849409,0.00078065,0x00,0x00
"SPI","result",0.42158132,0.00078063,0x80,0x00
"SPI","result",0.42464974,0.00078064,0x01,0x00
"SPI","result",0.42771879,0.00078064,0x01,0x00
"SPI","result",0.43078772,0.00078064,0x01,0x00
"SPI","result",0.43385764,0.00078065,0x83,0x00
"SPI","result",0.43692526,0.00078064,0x01,0x00
"SPI","result",0.43999412,0.00078065,0x01,0x00
"SPI","result",0.44306305,0.00078064,0x01,0x00
"SPI","result",0.4461326,0.00078065,0x83,0x00
"SPI","result",0.45838876,0.00078065,0x00,0x00
"SPI","result",0.46149222,0.00078064,0x80,0x00
"SPI","result",0.46454635,0.00078064,0x01,0x00
"SPI","result",0.46761403,0.00078064,0x01,0x00
"SPI","result",0.47068327,0.00078064,0x01,0x00
"SPI","result",0.47375157,0.00078064,0x83,0x00
"SPI","result",0.4768205,0.00078064,0x01,0x00
"SPI","result",0.47988942,0.00078065,0x01,0x00
"SPI","result",0.48295847,0.00078065,0x01,0x00
"SPI","result",0.48602709,0.00078064,0x83,0x00
"SPI","result",0.49828388,0.00078064,0x00,0x00
"SPI","result",0.50137141,0.00078064,0x80,0x00
"SPI","result",0.50444165,0.00078064,0x01,0x00
"SPI","result",0.50750914,0.00078064,0x01,0x00
"SPI","result",0.510578,0.00078065,0x01,0x00
"SPI","result",0.51364712,0.00078064,0x83,0x00
"SPI","result",0.51671586,0.00078064,0x01,0x00
"SPI","result",0.51978528,0.00078065,0x01,0x00
"SPI","result",0.52285359,0.00078064,0x01,0x00
"SPI","result",0.52592239,0.00078064,0x83,0x00
"SPI","result",0.53817912,0.00078064,0x00,0x00
"SPI","result",0.54126665,0.00078064,0x80,0x00
"SPI","result",0.54433676,0.00078064,0x01,0x00
"SPI","result",0.54740525,0.00078064,0x01,0x00
"SPI","result",0.55047374,0.00078064,0x01,0x00
"SPI","result",0.55354229,0.00078064,0x83,0x00
"SPI","result",0.55661203,0.00078064,0x01,0x00
"SPI","result",0.55967989,0.00078065,0x01,0x00
"SPI","result",0.56274864,0.00078064,0x01,0x00
"SPI","result",0.56581762,0.00078065,0x83,0x00
"SPI","result",0.57807441,0.00078065,0x00,0x00
"SPI","result",0.58116195,0.00078064,0x80,0x00
"SPI","result",0.58423081,0.00078064,0x01,0x00
"SPI","result",0.58730011,0.00078064,0x01,0x00
"SPI","result",0.59037004,0.00078064,0x01,0x00
"SPI","result",0.59343765,0.00078064,0x83,0x00
"SPI","result",0.59650614,0.00078064,0x01,0x00
"SPI","result",0.59957525,0.00078065,0x01,0x00
"SPI","result",0.602645,0.00078064,0x01,0x00
"SPI","result",0.6057128,0.00078064,0x83,0x00
"SPI","result",0.61797052,0.00078065,0x00,0x00
"SPI","result",0.62105718,0.00078064,0x80,0x00
"SPI","result",0.62412599,0.00078063,0x01,0x00
"SPI","result",0.62719572,0.00078065,0x01,0x00
"SPI","result",0.63026421,0.00078064,0x01,0x00
"SPI","result",0.63333295,0.00078065,0x83,0x00
"SPI","result",0.63640294,0.00078064,0x01,0x00
"SPI","result",0.63947068,0.00078065,0x01,0x00
"SPI","result",0.64253911,0.00078064,0x01,0x00
"SPI","result",0.64560816,0.00078064,0x83,0x00
"SPI","result",0.65786501,0.00078064,0x00,0x00
"SPI","result",0.66095242,0.00078064,0x80,0x00
"SPI","result",0.66402141,0.00078064,0x01,0x00
"SPI","result",0.66709071,0.00078064,0x01,0x00
"SPI","result",0.67015889,0.00078064,0x01,0x00
"SPI","result",0.67322775,0.00078065,0x83,0x00
"SPI","result",0.67629674,0.00078064,0x01,0x00
"SPI","result",0.67936548,0.00078065,0x01,0x00
"SPI","result",0.68243465,0.00078065,0x01,0x00
"SPI","result",0.68550321,0.00078064,0x83,0x00
"SPI","result",0.69776025,0.00078064,0x00,0x00
"SPI","result",0.70084772,0.00078064,0x80,0x00
"SPI","result",0.70391752,0.00078064,0x01,0x00
"SPI","result",0.70698626,0.00078064,0x01,0x00
"SPI","result",0.71005419,0.00078064,0x01,0x00
"SPI","result",0.71312299,0.00078065,0x83,0x00
"SPI","result",0.71619342,0.00078064,0x01,0x00
"SPI","result",0.71926084,0.00078065,0x01,0x00
"SPI","result",0.72232971,0.00078064,0x01,0x00
"SPI","result",0.7253987,0.00078064,0x83,0x00
"SPI","result",0.73765543,0.00078064,0x00,0x00
"SPI","result",0.74074314,0.00078065,0x80,0x00
"SPI","result",0.74381313,0.00078064,0x01,0x00
"SPI","result",0.7468805,0.00078064,0x01,0x00
"SPI","result",0.74994961,0.00078065,0x01,0x00
"SPI","result",0.75301835,0.00078065,0x83,0x00
"SPI","result",0.75608716,0.00078064,0x01,0x00
"SPI","result",0.75915602,0.00078065,0x01,0x00
"SPI","result",0.76222482,0.00078065,0x01,0x00
"SPI","result",0.76529388,0.00078064,0x83,0x00
"SPI","result",0.7775506,0.00078065,0x00,0x00
"SPI","result",0.78063851,0.00078064,0x80,0x00
"SPI","result",0.78370769,0.00078064,0x01,0x00
"SPI","result",0.78677574,0.00078064,0x01,0x00
"SPI","result",0.78984492,0.00078064,0x01,0x00
"SPI","result",0.79291366,0.00078064,0x83,0x00
"SPI","result",0.79598252,0.00078065,0x01,0x00
"SPI","result",0.79905132,0.00078065,0x01,0x00
"SPI","result",0.80212006,0.00078064,0x01,0x00
"SPI","result",0.80518905,0.00078065,0x83,0x00
"SPI","result",0.81744597,0.00078064,0x00,0x00
"SPI","result",0.8205335,0.00078064,0x80,0x00
"SPI","result",0.82360262,0.00078064,0x01,0x00
"SPI","result",0.8266711,0.00078065,0x01,0x00
"SPI","result",0.82973991,0.00078064,0x01,0x00
"SPI","result",0.83280871,0.00078065,0x83,0x00
"SPI","result",0.83587764,0.00078064,0x01,0x00
"SPI","result",0.83894669,0.00078064,0x01,0x00
"SPI","result",0.84201599,0.00078065,0x01,0x00
"SPI","result",0.84508436,0.00078064,0x83,0x00
"SPI","result",0.85734108,0.00078065,0x00,0x00
"SPI","result",0.86042962,0.00078064,0x80,0x00
"SPI","result",0.86349879,0.00078065,0x01,0x00
"SPI","result",0.86656635,0.00078064,0x01,0x00
"SPI","result",0.8696354,0.00078064,0x01,0x00
"SPI","result",0.87270445,0.00078064,0x83,0x00
"SPI","result",0.87577288,0.00078064,0x01,0x00
"SPI","result",0.87884249,0.00078065,0x01,0x00
"SPI","result",0.8819171,0.00078064,0x01,0x00
"SPI","result",0.8849796,0.00078064,0x83,0x00
"SPI","result",0.89723726,0.00078064,0x00,0x00
"SPI","result",0.90032398,0.00078064,0x80,0x00
"SPI","result",0.90339285,0.00078064,0x01,0x00
"SPI","result",0.90646252,0.00078065,0x01,0x00
"SPI","result",0.90953101,0.00078065,0x01,0x00
"SPI","result",0.91259957,0.00078064,0x83,0x00
"SPI","result",0.91566812,0.00078064,0x01,0x00
"SPI","result",0.91873692,0.00078065,0x01,0x00
"SPI","result",0.92180604,0.00078064,0x01,0x00
"SPI","result",0.92487471,0.00078065,0x83,0x00
"SPI","result",0.93713151,0.00078064,0x00,0x00
"SPI","result",0.9402191,0.00078064,0x80,0x00
"SPI","result",0.94328903,0.00078064,0x01,0x00
"SPI","result",0.94635733,0.00078064,0x01,0x00
"SPI","result",0.94942619,0.00078065,0x01,0x00
"SPI","result",0.95249525,0.00078064,0x83,0x00
"SPI","result",0.95556336,0.00078065,0x01,0x00
"SPI","result",0.95863397,0.00078065,0x01,0x00
"SPI","result",0.96170115,0.00078065,0x01,0x00
"SPI","result",0.96477008,0.00078064,0x83,0x00
"SPI","result",0.97702687,0.00078064,0x00,0x00
"SPI","result",0.98011459,0.00078064,0x80,0x00
"SPI","result",0.9831834,0.00078064,0x01,0x00
"SPI","result",0.9862527,0.00078064,0x01,0x00
"SPI","result",0.98932131,0.00078065,0x01,0x00
"SPI","result",0.99238999,0.00078064,0x83,0x00
"SPI","result",0.99545873,0.00078064,0x01,0x00
"SPI","result",0.99852741,0.00078064,0x01,0x00
"SPI","result",1.00159646,0.00078064,0x01,0x00
"SPI","result",1.0046657,0.00078065,0x83,0x00
"SPI","result",1.01692212,0.00078064,0x00,0x00
"SPI","result",1.02000946,0.00078064,0x80,0x00
"SPI","result",1.02308744,0.00078064,0x01,0x00
"SPI","result",1.02614775,0.00078065,0x01,0x00
"SPI","result",1.02921662,0.00078064,0x01,0x00
"SPI","result",1.03228567,0.00078064,0x83,0x00
"SPI","result",1.03535384,0.00078065,0x01,0x00
"SPI","result",1.03842284,0.00078064,0x01,0x00
"SPI","result",1.0414917,0.00078064,0x01,0x00
"SPI","result",1.04456056,0.00078065,0x83,0x00
"SPI","result",1.05681723,0.00078064,0x00,0x00
"SPI","result",1.05990508,0.00078064,0x80,0x00
"SPI","result",1.06297376,0.00078064,0x01,0x00
"SPI","result",1.06604287,0.00078064,0x01,0x00
"SPI","result",1.06911186,0.00078064,0x01,0x00
"SPI","result",1.07218029,0.00078064,0x83,0x00
"SPI","result",1.07524921,0.00078064,0x01,0x00
"SPI","result",1.07831901,0.00078065,0x01,0x00
"SPI","result",1.08138694,0.00078065,0x01,0x00
"SPI","result",1.08445574,0.00078065,0x83,0x00
"SPI","result",1.09671254,0.00078064,0x00,0x00
"SPI","result",1.09980013,0.00078065,0x80,0x00
"SPI","result",1.10287006,0.00078064,0x01,0x00
"SPI","result",1.10593786,0.00078064,0x01,0x00
"SPI","result",1.10900766,0.00078065,0x01,0x00
"SPI","result",1.11207547,0.00078064,0x83,0x00
"SPI","result",1.1151444,0.00078064,0x01,0x00
"SPI","result",1.11821357,0.00078065,0x01,0x00
"SPI","result",1.12128219,0.00078064,0x01,0x00
"SPI","result",1.12435099,0.00078064,0x83,0x00
"SPI","result",1.13660778,0.00078064,0x00,0x00
"SPI","result",1.13969525,0.00078064,0x80,0x00
"SPI","result",1.14276412,0.00078064,0x01,0x00
"SPI","result",1.14583292,0.00078064,0x01,0x00
"SPI","result",1.14890216,0.00078064,0x01,0x00
"SPI","result",1.15197064,0.00078065,0x83,0x00
"SPI","result",1.15504007,0.00078065,0x01,0x00
"SPI","result",1.15810882,0.00078064,0x01,0x00
"SPI","result",1.16117775,0.00078064,0x01,0x00
"SPI","result",1.16424611,0.00078064,0x83,0x00
"SPI","result",1.17650297,0.00078063,0x00,0x00
"SPI","result",1.17959081,0.00078064,0x80,0x00
"SPI","result",1.18265961,0.00078064,0x01,0x00
"SPI","result",1.18572916,0.00078064,0x01,0x00
"SPI","result",1.18879703,0.00078064,0x01,0x00
"SPI","result",1.19186589,0.00078065,0x83,0x00
"SPI","result",1.19493488,0.00078065,0x01,0x00
"SPI","result",1.19800437,0.00078065,0x01,0x00
"SPI","result",1.20107287,0.00078064,0x01,0x00
"SPI","result",1.20414173,0.00078064,0x83,0x00
"SPI","result",1.21639815,0.00078063,0x00,0x00
"SPI","result",1.21948593,0.00078064,0x80,0x00
"SPI","result",1.22255454,0.00078064,0x01,0x00
"SPI","result",1.22562403,0.00078065,0x01,0x00
"SPI","result",1.2286929,0.00078064,0x01,0x00
"SPI","result",1.2317612,0.00078064,0x83,0x00
"SPI","result",1.23483112,0.00078065,0x01,0x00
"SPI","result",1.23789937,0.00078064,0x01,0x00
"SPI","result",1.24096786,0.00078064,0x01,0x00
"SPI","result",1.24403691,0.00078064,0x83,0x00
"SPI","result",1.25629345,0.00078065,0x00,0x00
"SPI","result",1.25938167,0.00078065,0x80,0x00
"SPI","result",1.26244998,0.00078064,0x01,0x00
"SPI","result",1.26551928,0.00078064,0x01,0x00
"SPI","result",1.26858758,0.00078064,0x01,0x00
"SPI","result",1.27165638,0.00078065,0x83,0x00
"SPI","result",1.27472556,0.00078065,0x01,0x00
"SPI","result",1.27779555,0.00078065,0x01,0x00
"SPI","result",1.28086323,0.00078064,0x01,0x00
"SPI","result",1.28393216,0.00078064,0x83,0x00
"SPI","result",1.2961887,0.00078064,0x00,0x00
"SPI","result",1.29927617,0.00078064,0x80,0x00
"SPI","result",1.30234628,0.00078065,0x01,0x00
"SPI","result",1.30541403,0.00078064,0x01,0x00
"SPI","result",1.30848314,0.00078064,0x01,0x00
"SPI","result",1.31155169,0.00078065,0x83,0x00
"SPI","result",1.31462056,0.00078064,0x01,0x00
"SPI","result",1.31768992,0.00078065,0x01,0x00
"SPI","result",1.32075854,0.00078064,0x01,0x00
"SPI","result",1.32382722,0.00078064,0x83,0x00
"SPI","result",1.33608432,0.00078064,0x00,0x00
"SPI","result",1.3391716,0.00078065,0x80,0x00
"SPI","result",1.34224122,0.00078064,0x01,0x00
"SPI","result",1.34530952,0.00078064,0x01,0x00
"SPI","result",1.34837851,0.00078065,0x01,0x00
"SPI","result",1.35144694,0.00078064,0x83,0x00
"SPI","result",1.35451574,0.00078065,0x01,0x00
"SPI","result",1.35758467,0.00078064,0x01,0x00
"SPI","result",1.36065353,0.00078065,0x01,0x00
"SPI","result",1.3637224,0.00078064,0x83,0x00
"SPI","result",1.37597925,0.00078065,0x00,0x00
"SPI","result",1.37906785,0.00078064,0x80,0x00
"SPI","result",1.38213621,0.00078064,0x01,0x00
"SPI","result",1.38520439,0.00078064,0x01,0x00
"SPI","result",1.38827369,0.00078065,0x01,0x00
"SPI","result",1.39134218,0.00078065,0x83,0x00
"SPI","result",1.39441124,0.00078064,0x01,0x00
"SPI","result",1.39748054,0.00078064,0x01,0x00
"SPI","result",1.40054897,0.00078064,0x01,0x00
"SPI","result",1.40361846,0.00078064,0x83,0x00
"SPI","result",1.41587444,0.00078064,0x00,0x00
"SPI","result",1.41896216,0.00078064,0x80,0x00
"SPI","result",1.42203121,0.00078064,0x01,0x00
"SPI","result",1.42510008,0.00078064,0x01,0x00
"SPI","result",1.42816856,0.00078065,0x01,0x00
"SPI","result",1.43123774,0.00078065,0x83,0x00
"SPI","result",1.43430636,0.00078064,0x01,0x00
"SPI","result",1.43737535,0.00078064,0x01,0x00
"SPI","result",1.44044403,0.00078064,0x01,0x00
"SPI","result",1.4435132,0.00078065,0x83,0x00
"SPI","result",1.45576962,0.00078064,0x00,0x00
"SPI","result",1.45885728,0.00078064,0x80,0x00
"SPI","result",1.46192634,0.00078063,0x01,0x00
"SPI","result",1.46499526,0.00078064,0x01,0x00
"SPI","result",1.46806388,0.00078064,0x01,0x00
"SPI","result",1.47113268,0.00078064,0x83,0x00
"SPI","result",1.47420173,0.00078064,0x01,0x00
"SPI","result",1.47727079,0.00078064,0x01,0x00
"SPI","result",1.48033922,0.00078064,0x01,0x00
"SPI","result",1.48340939,0.00078064,0x83,0x00
"SPI","result",1.49566487,0.00078064,0x00,0x00
"SPI","result",1.4987524,0.00078065,0x80,0x00
"SPI","result",1.50182133,0.00078064,0x01,0x00
"SPI","result",1.50489051,0.00078064,0x01,0x00
"SPI","result",1.50795913,0.00078064,0x01,0x00
"SPI","result",1.5110283,0.00078065,0x83,0x00
"SPI","result",1.51409685,0.00078065,0x01,0x00
"SPI","result",1.51716559,0.00078065,0x01,0x00
"SPI","result",1.52023471,0.00078064,0x01,0x00
"SPI","result",1.52330458,0.00078064,0x83,0x00
"SPI","result",1.53556031,0.00078064,0x00,0x00
"SPI","result",1.53864821,0.00078065,0x80,0x00
"SPI","result",1.54171652,0.00078064,0x01,0x00
"SPI","result",1.54478557,0.00078064,0x01,0x00
"SPI","result",1.54785431,0.00078064,0x01,0x00
"SPI","result",1.55092374,0.00078064,0x83,0x00
"SPI","result",1.5539921,0.00078065,0x01,0x00
"SPI","result",1.55706085,0.00078064,0x01,0x00
"SPI","result",1.56013164,0.00078065,0x01,0x00
"SPI","result",1.56319857,0.00078065,0x83,0x00
"SPI","result",1.57545543,0.00078064,0x00,0x00
"SPI","result",1.57854303,0.00078064,0x80,0x00
"SPI","result",1.58161302,0.00078064,0x01,0x00
"SPI","result",1.58468175,0.00078065,0x01,0x00
"SPI","result",1.5877495,0.00078064,0x01,0x00
"SPI","result",1.59081911,0.00078065,0x83,0x00
"SPI","result",1.59388748,0.00078064,0x01,0x00
"SPI","result",1.59695615,0.00078065,0x01,0x00
"SPI","result",1.6000254,0.00078064,0x01,0x00
"SPI","result",1.6030947,0.00078064,0x83,0x00
"SPI","result",1.61535112,0.00078064,0x00,0x00
"SPI","result",1.61843953,0.00078064,0x80,0x00
"SPI","result",1.62150726,0.00078065,0x01,0x00
