name,type,start_time,duration,"mosi","miso"
"SPI","result",3.45e-06,0.00302007,0x82,0x00
"SPI","result",0.00307557,0.00301345,0x02,0x00
"SPI","result",0.00614108,0.003017,0x03,0x00
"SPI","result",0.00921014,0.0122049,0x2E,0x00
"SPI","result",0.02146709,0.0030358,0x01,0x00
"SPI","result",0.02455495,0.00301663,0x6D,0x00
"SPI","result",0.02762363,0.00301695,0x1E,0x00
"SPI","result",0.03069263,0.00301757,0x6F,0x00
"SPI","result",0.03376226,0.00301644,0x1E,0x00
"SPI","result",0.03683076,0.0030165,0xAF,0x00
"SPI","result",0.03989932,0.00301707,0x82,0x00
"SPI","result",0.04296844,0.00301763,0x02,0x00
"SPI","result",0.04603813,0.00301607,0x03,0x00
"SPI","result",0.04910625,0.01220521,0x2E,0x00
"SPI","result",0.06136352,0.00303567,0x01,0x00
"SPI","result",0.06445125,0.00301682,0x6D,0x00
"SPI","result",0.06752013,0.00301663,0x1E,0x00
"SPI","result",0.07058881,0.00301719,0x6F,0x00
"SPI","result",0.07365806,0.00301713,0x1E,0x00
"SPI","result",0.07672725,0.00301638,0xAF,0x00
"SPI","result",0.07979569,0.00301682,0x82,0x00
"SPI","result",0.08286456,0.00301688,0x02,0x00
"SPI","result",0.08593349,0.00301707,0x03,0x00
"SPI","result",0.08900262,0.01220533,0x2E,0x00
"SPI","result",0.10126001,0.00303536,0x01,0x00
"SPI","result",0.10434743,0.00301669,0x6D,0x00
"SPI","result",0.10741618,0.00301669,0x1E,0x00
"SPI","result",0.11048493,0.00301688,0x6F,0x00
"SPI","result",0.11355386,0.00301682,0x1E,0x00
"SPI","result",0.11662273,0.0030172,0xAF,0x00
"SPI","result",0.11969199,0.00301675,0x82,0x00
"SPI","result",0.1227608,0.00301713,0x02,0x00
"SPI","result",0.12582998,0.0030167,0x03,0x00
"SPI","result",0.12889874,0.01220489,0x2E,0x00
"SPI","result",0.14115569,0.00303648,0x01,0x00
"SPI","result",0.14424423,0.00301582,0x6D,0x00
"SPI","result",0.14731211,0.00301688,0x1E,0x00
"SPI","result",0.15038104,0.00301826,0x6F,0x00
"SPI","result",0.15345135,0.00301638,0x1E,0x00
"SPI","result",0.15651979,0.00301601,0xAF,0x00
"SPI","result",0.15958785,0.00301701,0x82,0x00
"SPI","result",0.16265691,0.00301676,0x02,0x00
"SPI","result",0.16572573,0.00301707,0x03,0x00
"SPI","result",0.16879485,0.01220508,0x2E,0x00
"SPI","result",0.18105199,0.00303599,0x01,0x00
"SPI","result",0.18414004,0.00301631,0x6D,0x00
"SPI","result",0.18720841,0.00301719,0x1E,0x00
"SPI","result",0.19027766,0.00301682,0x6F,0x00
"SPI","result",0.19334653,0.00301701,0x1E,0x00
"SPI","result",0.19641559,0.00301651,0xAF,0x00
"SPI","result",0.19948415,0.00301688,0x82,0x00
"SPI","result",0.20255309,0.00301707,0x02,0x00
"SPI","result",0.20562222,0.00301669,0x03,0x00
"SPI","result",0.20869097,0.01220546,0x2E,0x00
"SPI","result",0.22094848,0.00303592,0x01,0x00
"SPI","result",0.22403646,0.00301657,0x6D,0x00
"SPI","result",0.22710509,0.00301625,0x1E,0x00
"SPI","result",0.2301734,0.00301701,0x6F,0x00
"SPI","result",0.23324246,0.00301701,0x1E,0x00
"SPI","result",0.23631152,0.00301682,0xAF,0x00
"SPI","result",0.2393804,0.00301669,0x82,0x00
"SPI","result",0.24244915,0.00301719,0x02,0x00
"SPI","result",0.24551839,0.00301676,0x03,0x00
"SPI","result",0.24858721,0.01220558,0x2E,0x00
"SPI","result",0.26084485,0.00303561,0x01,0x00
"SPI","result",0.26393252,0.0030175,0x6D,0x00
"SPI","result",0.26700207,0.00301551,0x1E,0x00
"SPI","result",0.27006964,0.00301682,0x6F,0x00
"SPI","result",0.27313852,0.003017,0x1E,0x00
"SPI","result",0.27620758,0.00301769,0xAF,0x00
"SPI","result",0.27927732,0.00301595,0x82,0x00
"SPI","result",0.28234532,0.00301714,0x02,0x00
"SPI","result",0.28541451,0.00301663,0x03,0x00
"SPI","result",0.2884832,0.0122054,0x2E,0x00
"SPI","result",0.30074065,0.00303518,0x01,0x00
"SPI","result",0.30382788,0.00301701,0x6D,0x00
"SPI","result",0.30689694,0.00301676,0x1E,0x00
"SPI","result",0.30996576,0.00301725,0x6F,0x00
"SPI","result",0.31303507,0.00301663,0x1E,0x00
"SPI","result",0.31610375,0.00301701,0xAF,0x00
"SPI","result",0.31917282,0.00301663,0x82,0x00
"SPI","result",0.3222415,0.00301701,0x02,0x00
"SPI","result",0.32531057,0.00301738,0x03,0x00
"SPI","result",0.32838,0.01220465,0x2E,0x00
"SPI","result",0.3406367,0.00303624,0x01,0x00
"SPI","result",0.343725,0.00301594,0x6D,0x00
"SPI","result",0.346793,0.00301713,0x1E,0x00
"SPI","result",0.34986219,0.003017,0x6F,0x00
"SPI","result",0.35293125,0.0030165,0x1E,0x00
"SPI","result",0.35599981,0.00301725,0xAF,0x00
"SPI","result",0.35906912,0.00301657,0x82,0x00
"SPI","result",0.36213775,0.00301706,0x02,0x00
"SPI","result",0.36520687,0.00301744,0x03,0x00
"SPI","result",0.36827636,0.01220434,0x2E,0x00
"SPI","result",0.38053276,0.00303549,0x01,0x00
"SPI","result",0.3836203,0.00301751,0x6D,0x00
"SPI","result",0.38668987,0.00301625,0x1E,0x00
"SPI","result",0.38975818,0.00301706,0x6F,0x00
"SPI","result",0.3928273,0.00301694,0x1E,0x00
"SPI","result",0.3958963,0.00301657,0xAF,0x00
"SPI","result",0.39896492,0.00301689,0x82,0x00
"SPI","result",0.40203386,0.00301688,0x02,0x00
"SPI","result",0.4051028,0.003017,0x03,0x00
"SPI","result",0.40817186,0.01220552,0x2E,0x00
"SPI","result",0.42042944,0.00303561,0x01,0x00
"SPI","result",0.4235171,0.00301633,0x6D,0x00
"SPI","result",0.42658548,0.00301688,0x1E,0x00
"SPI","result",0.42965442,0.003017,0x6F,0x00
"SPI","result",0.43272348,0.00301682,0x1E,0x00
"SPI","result",0.43579235,0.00301763,0xAF,0x00
"SPI","result",0.43886204,0.00301688,0x82,0x00
"SPI","result",0.44193097,0.00301632,0x02,0x00
"SPI","result",0.44499935,0.00301663,0x03,0x00
"SPI","result",0.44806804,0.01220545,0x2E,0x00
"SPI","result",0.46032555,0.0030353,0x01,0x00
"SPI","result",0.46341291,0.00301663,0x6D,0x00
"SPI","result",0.46648159,0.00301726,0x1E,0x00
"SPI","result",0.4695509,0.00301801,0x6F,0x00
"SPI","result",0.47262097,0.00301532,0x1E,0x00
"SPI","result",0.47568834,0.00301763,0xAF,0x00
"SPI","result",0.47875803,0.0030165,0x82,0x00
"SPI","result",0.48182659,0.00301682,0x02,0x00
"SPI","result",0.48489547,0.00301831,0x03,0x00
"SPI","result",0.48796584,0.01220346,0x2E,0x00
