name,type,start_time,duration,"mosi","miso"
"SPI","result",0.00353768,0.00078063,0x01,0x00
"SPI","result",0.006625,0.00078062,0x38,0x00
"SPI","result",0.00969388,0.00078063,0x1E,0x00
"SPI","result",0.01276915,0.00078062,0x3B,0x00
"SPI","result",0.01583192,0.00078062,0x1F,0x00
"SPI","result",0.01890193,0.00078063,0xD5,0x00
"SPI","result",0.0219697,0.00078062,0x07,0x00
"SPI","result",0.02503865,0.00078063,0x01,0x00
"SPI","result",0.0281078,0.00078062,0x01,0x00
"SPI","result",0.03117744,0.00078062,0xD3,0x00
"SPI","result",0.04343396,0.00078063,0x01,0x00
"SPI","result",0.04652139,0.00078062,0x38,0x00
"SPI","result",0.04959072,0.00078062,0x1E,0x00
"SPI","result",0.05265961,0.00078063,0x3B,0x00
"SPI","result",0.05572826,0.00078062,0x1F,0x00
"SPI","result",0.05879752,0.00078062,0xD5,0x00
"SPI","result",0.06186597,0.00078062,0x07,0x00
"SPI","result",0.0649353,0.00078063,0x01,0x00
"SPI","result",0.06800463,0.00078062,0x01,0x00
"SPI","result",0.07107358,0.00078063,0xD3,0x00
"SPI","result",0.08333011,0.00078062,0x01,0x00
"SPI","result",0.08641797,0.00078063,0x38,0x00
"SPI","result",0.08948675,0.00078062,0x1E,0x00
"SPI","result",0.09255564,0.00078062,0x3B,0x00
"SPI","result",0.09562459,0.00078062,0x1F,0x00
"SPI","result",0.09869367,0.00078062,0xD5,0x00
"SPI","result",0.10176256,0.00078062,0x07,0x00
"SPI","result",0.10483145,0.00078063,0x01,0x00
"SPI","result",0.10790047,0.00078062,0x01,0x00
"SPI","result",0.11096942,0.00078063,0xD3,0x00
"SPI","result",0.12322669,0.00078063,0x01,0x00
"SPI","result",0.12631588,0.00078062,0x38,0x00
"SPI","result",0.12938321,0.00078062,0x1E,0x00
"SPI","result",0.13245235,0.00078062,0x3B,0x00
"SPI","result",0.13552105,0.00078062,0x1F,0x00
"SPI","result",0.13859,0.00078063,0xD5,0x00
"SPI","result",0.14165908,0.00078063,0x07,0x00
"SPI","result",0.14472785,0.00078062,0x01,0x00
"SPI","result",0.14779718,0.00078062,0x01,0x00
"SPI","result",0.15086569,0.00078063,0xD3,0x00
"SPI","result",0.16312315,0.00078063,0x01,0x00
"SPI","result",0.16621102,0.00078063,0x38,0x00
"SPI","result",0.16927998,0.00078062,0x1E,0x00
"SPI","result",0.17234837,0.00078063,0x3B,0x00
"SPI","result",0.17541757,0.00078063,0x1F,0x00
"SPI","result",0.17848647,0.00078062,0xD5,0x00
"SPI","result",0.18155567,0.00078062,0x07,0x00
"SPI","result",0.18462425,0.00078062,0x01,0x00
"SPI","result",0.18769314,0.00078062,0x01,0x00
"SPI","result",0.19076266,0.00078062,0xD3,0x00
"SPI","result",0.20301924,0.00078062,0x01,0x00
"SPI","result",0.20610724,0.00078062,0x38,0x00
"SPI","result",0.20917706,0.00078063,0x1E,0x00
"SPI","result",0.21224508,0.00078062,0x3B,0x00
"SPI","result",0.2153141,0.00078062,0x1F,0x00
"SPI","result",0.21838311,0.00078062,0xD5,0x00
"SPI","result",0.22145213,0.00078062,0x07,0x00
"SPI","result",0.22452083,0.00078063,0x01,0x00
"SPI","result",0.22758954,0.00078062,0x01,0x00
"SPI","result",0.23065887,0.00078062,0xD3,0x00
"SPI","result",0.24291564,0.00078062,0x01,0x00
"SPI","result",0.24600339,0.00078061,0x38,0x00
"SPI","result",0.24907259,0.00078062,0x1E,0x00
"SPI","result",0.25214142,0.00078062,0x3B,0x00
"SPI","result",0.25521024,0.00078063,0x1F,0x00
"SPI","result",0.25827913,0.00078063,0xD5,0x00
"SPI","result",0.26134815,0.00078062,0x07,0x00
"SPI","result",0.26441729,0.00078063,0x01,0x00
"SPI","result",0.26748612,0.00078062,0x01,0x00
"SPI","result",0.2705552,0.00078062,0xD3,0x00
"SPI","result",0.28281203,0.00078063,0x01,0x00
"SPI","result",0.28589972,0.00078062,0x38,0x00
"SPI","result",0.28896899,0.00078062,0x1E,0x00
"SPI","result",0.29203807,0.00078061,0x3B,0x00
"SPI","result",0.29510683,0.00078062,0x1F,0x00
"SPI","result",0.29817554,0.00078062,0xD5,0x00
"SPI","result",0.30124468,0.00078062,0x07,0x00
"SPI","result",0.30431344,0.00078063,0x01,0x00
"SPI","result",0.30738333,0.00078063,0x01,0x00
"SPI","result",0.31045129,0.00078062,0xD3,0x00
"SPI","result",0.32270931,0.00078062,0x01,0x00
"SPI","result",0.3257963,0.00078063,0x38,0x00
"SPI","result",0.32886507,0.00078062,0x1E,0x00
"SPI","result",0.3319344,0.00078062,0x3B,0x00
"SPI","result",0.33500323,0.00078062,0x1F,0x00
"SPI","result",0.33807243,0.00078062,0xD5,0x00
"SPI","result",0.34114182,0.00078063,0x07,0x00
"SPI","result",0.3442099,0.00078063,0x01,0x00
"SPI","result",0.34727892,0.00078062,0x01,0x00
"SPI","result",0.35034787,0.00078062,0xD3,0x00
"SPI","result",0.36260489,0.00078063,0x01,0x00
"SPI","result",0.36569258,0.00078062,0x38,0x00
"SPI","result",0.36876278,0.00078062,0x1E,0x00
"SPI","result",0.37183042,0.00078062,0x3B,0x00
"SPI","result",0.37489956,0.00078063,0x1F,0x00
"SPI","result",0.37796827,0.00078062,0xD5,0x00
"SPI","result",0.38103722,0.00078062,0x07,0x00
"SPI","result",0.38410667,0.00078063,0x01,0x00
"SPI","result",0.38717519,0.00078062,0x01,0x00
"SPI","result",0.39024408,0.00078062,0xD3,0x00
"SPI","result",0.40250129,0.00078063,0x01,0x00
"SPI","result",0.40558941,0.00078063,0x38,0x00
"SPI","result",0.4086578,0.00078063,0x1E,0x00
"SPI","result",0.41172688,0.00078062,0x3B,0x00
"SPI","result",0.41479596,0.00078062,0x1F,0x00
"SPI","result",0.41786498,0.00078062,0xD5,0x00
"SPI","result",0.42093362,0.00078062,0x07,0x00
"SPI","result",0.42400307,0.00078062,0x01,0x00
"SPI","result",0.42707203,0.00078062,0x01,0x00
"SPI","result",0.43014073,0.00078062,0xD3,0x00
"SPI","result",0.44239763,0.00078062,0x01,0x00
"SPI","result",0.44548544,0.00078062,0x38,0x00
"SPI","result",0.44855514,0.00078062,0x1E,0x00
"SPI","result",0.45162359,0.00078062,0x3B,0x00
"SPI","result",0.45469336,0.00078062,0x1F,0x00
"SPI","result",0.45776132,0.00078061,0xD5,0x00
"SPI","result",0.46083083,0.00078062,0x07,0x00
"SPI","result",0.46389922,0.00078062,0x01,0x00
"SPI","result",0.46696842,0.00078062,0x01,0x00
"SPI","result",0.47003844,0.00078062,0xD3,0x00
"SPI","result",0.48229452,0.00078063,0x01,0x00
"SPI","result",0.48538202,0.00078062,0x38,0x00
"SPI","result",0.48845079,0.00078062,0x1E,0x00
"SPI","result",0.49151968,0.00078062,0x3B,0x00
"SPI","result",0.49458857,0.00078062,0x1F,0x00
"SPI","result",0.49765746,0.00078062,0xD5,0x00
"SPI","result",0.50072648,0.00078062,0x07,0x00
"SPI","result",0.50379537,0.00078062,0x01,0x00
"SPI","result",0.5068647,0.00078062,0x01,0x00
"SPI","result",0.50993371,0.00078062,0xD3,0x00
"SPI","result",0.52219042,0.00078063,0x01,0x00
"SPI","result",0.52527836,0.00078062,0x38,0x00
"SPI","result",0.52834725,0.00078062,0x1E,0x00
"SPI","result",0.5314162,0.00078062,0x3B,0x00
"SPI","result",0.53448616,0.00078062,0x1F,0x00
"SPI","result",0.53755399,0.00078062,0xD5,0x00
"SPI","result",0.540624,0.00078062,0x07,0x00
"SPI","result",0.54369183,0.00078062,0x01,0x00
"SPI","result",0.54676084,0.00078063,0x01,0x00
"SPI","result",0.54982968,0.00078062,0xD3,0x00
"SPI","result",0.56208688,0.00078063,0x01,0x00
